column,feature_group,missing_n,missing_percent,non_missing_n,n_distinct,r_class
rating_diff,safe,1943,3.94,47314,1821,numeric
away_rating_pre_match,safe,1383,2.81,47874,1657,numeric
rating_age_days_away,safe,1383,2.81,47874,1038,numeric
home_rating_pre_match,safe,1373,2.79,47884,1640,numeric
rating_age_days_home,safe,1373,2.79,47884,970,numeric
away_team_clean,use_with_care,0,0,49257,321,character
city,use_with_care,0,0,49257,2138,character
competition,use_with_care,0,0,49257,198,character
country,use_with_care,0,0,49257,269,character
home_team_clean,use_with_care,0,0,49257,327,character
is_continental_qualifier,safe,0,0,49257,2,logical
is_continental_tournament,safe,0,0,49257,2,logical
is_friendly,safe,0,0,49257,2,logical
is_world_cup,safe,0,0,49257,2,logical
is_world_cup_qualifier,safe,0,0,49257,2,logical
neutral,safe,0,0,49257,2,logical
season,use_with_care,0,0,49257,155,numeric
tournament,use_with_care,0,0,49257,198,character
