season,feature,matches,missing_n,missing_pct
1872,away_rating_pre_match,1,1,1
1872,home_rating_pre_match,1,1,1
1872,rating_diff,1,1,1
1873,away_rating_pre_match,1,0,0
1873,home_rating_pre_match,1,0,0
1873,rating_diff,1,0,0
1874,away_rating_pre_match,1,0,0
1874,home_rating_pre_match,1,0,0
1874,rating_diff,1,0,0
1875,away_rating_pre_match,1,0,0
1875,home_rating_pre_match,1,0,0
1875,rating_diff,1,0,0
1876,away_rating_pre_match,2,1,0.5
1876,home_rating_pre_match,2,0,0
1876,rating_diff,2,1,0.5
1877,away_rating_pre_match,2,0,0
1877,home_rating_pre_match,2,0,0
1877,rating_diff,2,0,0
1878,away_rating_pre_match,2,0,0
1878,home_rating_pre_match,2,0,0
1878,rating_diff,2,0,0
1879,away_rating_pre_match,3,0,0
1879,home_rating_pre_match,3,0,0
1879,rating_diff,3,0,0
1880,away_rating_pre_match,3,0,0
1880,home_rating_pre_match,3,0,0
1880,rating_diff,3,0,0
1881,away_rating_pre_match,3,0,0
1881,home_rating_pre_match,3,0,0
1881,rating_diff,3,0,0
1882,away_rating_pre_match,5,1,0.2
1882,home_rating_pre_match,5,1,0.2
1882,rating_diff,5,2,0.4
1883,away_rating_pre_match,5,1,0.2
1883,home_rating_pre_match,5,1,0.2
1883,rating_diff,5,2,0.4
1884,away_rating_pre_match,6,1,0.16666666666666666
1884,home_rating_pre_match,6,2,0.3333333333333333
1884,rating_diff,6,3,0.5
1885,away_rating_pre_match,7,3,0.42857142857142855
1885,home_rating_pre_match,7,2,0.2857142857142857
1885,rating_diff,7,4,0.5714285714285714
1886,away_rating_pre_match,7,2,0.2857142857142857
1886,home_rating_pre_match,7,3,0.42857142857142855
1886,rating_diff,7,4,0.5714285714285714
1887,away_rating_pre_match,6,2,0.3333333333333333
1887,home_rating_pre_match,6,1,0.16666666666666666
1887,rating_diff,6,3,0.5
1888,away_rating_pre_match,7,2,0.2857142857142857
1888,home_rating_pre_match,7,2,0.2857142857142857
1888,rating_diff,7,4,0.5714285714285714
1889,away_rating_pre_match,6,2,0.3333333333333333
1889,home_rating_pre_match,6,1,0.16666666666666666
1889,rating_diff,6,3,0.5
1890,away_rating_pre_match,6,1,0.16666666666666666
1890,home_rating_pre_match,6,2,0.3333333333333333
1890,rating_diff,6,3,0.5
1891,away_rating_pre_match,6,2,0.3333333333333333
1891,home_rating_pre_match,6,1,0.16666666666666666
1891,rating_diff,6,3,0.5
1892,away_rating_pre_match,6,1,0.16666666666666666
1892,home_rating_pre_match,6,2,0.3333333333333333
1892,rating_diff,6,3,0.5
1893,away_rating_pre_match,5,2,0.4
1893,home_rating_pre_match,5,0,0
1893,rating_diff,5,2,0.4
1894,away_rating_pre_match,6,1,0.16666666666666666
1894,home_rating_pre_match,6,2,0.3333333333333333
1894,rating_diff,6,3,0.5
1895,away_rating_pre_match,6,2,0.3333333333333333
1895,home_rating_pre_match,6,1,0.16666666666666666
1895,rating_diff,6,3,0.5
1896,away_rating_pre_match,6,1,0.16666666666666666
1896,home_rating_pre_match,6,2,0.3333333333333333
1896,rating_diff,6,3,0.5
1897,away_rating_pre_match,6,2,0.3333333333333333
1897,home_rating_pre_match,6,1,0.16666666666666666
1897,rating_diff,6,3,0.5
1898,away_rating_pre_match,6,1,0.16666666666666666
1898,home_rating_pre_match,6,2,0.3333333333333333
1898,rating_diff,6,3,0.5
1899,away_rating_pre_match,6,2,0.3333333333333333
1899,home_rating_pre_match,6,1,0.16666666666666666
1899,rating_diff,6,3,0.5
1900,away_rating_pre_match,6,1,0.16666666666666666
1900,home_rating_pre_match,6,2,0.3333333333333333
1900,rating_diff,6,3,0.5
1901,away_rating_pre_match,6,2,0.3333333333333333
1901,home_rating_pre_match,6,1,0.16666666666666666
1901,rating_diff,6,3,0.5
1902,away_rating_pre_match,8,3,0.375
1902,home_rating_pre_match,8,4,0.5
1902,rating_diff,8,5,0.625
1903,away_rating_pre_match,10,3,0.3
1903,home_rating_pre_match,10,1,0.1
1903,rating_diff,10,4,0.4
1904,away_rating_pre_match,9,2,0.2222222222222222
1904,home_rating_pre_match,9,3,0.3333333333333333
1904,rating_diff,9,4,0.4444444444444444
1905,away_rating_pre_match,15,7,0.4666666666666667
1905,home_rating_pre_match,15,4,0.26666666666666666
1905,rating_diff,15,8,0.5333333333333333
1906,away_rating_pre_match,16,4,0.25
1906,home_rating_pre_match,16,5,0.3125
1906,rating_diff,16,7,0.4375
1907,away_rating_pre_match,15,5,0.3333333333333333
1907,home_rating_pre_match,15,4,0.26666666666666666
1907,rating_diff,15,7,0.4666666666666667
1908,away_rating_pre_match,30,7,0.23333333333333334
1908,home_rating_pre_match,30,6,0.2
1908,rating_diff,30,10,0.3333333333333333
1909,away_rating_pre_match,22,4,0.18181818181818182
1909,home_rating_pre_match,22,3,0.13636363636363635
1909,rating_diff,22,5,0.22727272727272727
1910,away_rating_pre_match,30,6,0.2
1910,home_rating_pre_match,30,7,0.23333333333333334
1910,rating_diff,30,9,0.3
1911,away_rating_pre_match,35,4,0.11428571428571428
1911,home_rating_pre_match,35,5,0.14285714285714285
1911,rating_diff,35,7,0.2
1912,away_rating_pre_match,53,6,0.11320754716981132
1912,home_rating_pre_match,53,7,0.1320754716981132
1912,rating_diff,53,10,0.18867924528301888
1913,away_rating_pre_match,38,3,0.07894736842105263
1913,home_rating_pre_match,38,6,0.15789473684210525
1913,rating_diff,38,6,0.15789473684210525
1914,away_rating_pre_match,33,5,0.15151515151515152
1914,home_rating_pre_match,33,3,0.09090909090909091
1914,rating_diff,33,6,0.18181818181818182
1915,away_rating_pre_match,18,3,0.16666666666666666
1915,home_rating_pre_match,18,5,0.2777777777777778
1915,rating_diff,18,5,0.2777777777777778
1916,away_rating_pre_match,29,4,0.13793103448275862
1916,home_rating_pre_match,29,3,0.10344827586206896
1916,rating_diff,29,4,0.13793103448275862
